DE;EN;FR;SPECIES_CODE
Berghaubenadler;Mountain Hawk-Eagle;Aigle montagnard;mouhae1
Berghaubenadler (nipalensis);Mountain Hawk-Eagle (nipalensis);Aigle montagnard (nipalensis);mouhae5
Berghaubenadler (orientalis);Mountain Hawk-Eagle (orientalis);Aigle montagnard (orientalis);mouhae4
Borneohaubenadler;Blyth's Hawk-Eagle;Aigle de Blyth;blyhae1
Javahaubenadler;Javan Hawk-Eagle;Aigle de Java;javhae1
Celebeshaubenadler;Sulawesi Hawk-Eagle;Aigle des Célèbes;sulhae1
Mindanaohaubenadler;Pinsker's Hawk-Eagle;Aigle de Pinsker;pinhae1
Luzonhaubenadler;Philippine Hawk-Eagle;Aigle des Philippines;phihae1
Indienhaubenadler;Changeable Hawk-Eagle;Aigle huppé;y00839
Indienhaubenadler (cirrhatus/ceylanensis);Changeable Hawk-Eagle (Crested);Aigle huppé (cirrhatus/ceylanensis);crehae1
Indienhaubenadler [limnaeetus-Gruppe];Changeable Hawk-Eagle (Changeable);Aigle huppé (groupe limnaeetus);chahae1
Floreshaubenadler;Flores Hawk-Eagle;Aigle de Florès;flohae1
Nisaetus, unbestimmt;Nisaetus sp.;Nisaetus sp.;nisaet1
Tyrannenadler;Black Hawk-Eagle;Aigle tyran;blheag1
Elsteradler;Black-and-white Hawk-Eagle;Aigle noir et blanc;bawhae1
Prachtadler;Ornate Hawk-Eagle;Aigle orné;orheag1
Kastanienbauchadler;Black-and-chestnut Eagle;Aigle d'Isidore;baceag2
Spizaetus, unbestimmt;Spizaetus sp.;Spizaetus sp.;spizae1
Rotbauchadler;Rufous-bellied Eagle;Aigle à ventre roux;rubeag2
Kampfadler;Martial Eagle;Aigle martial;mareag1
Schopfadler;Long-crested Eagle;Aigle huppard;loceag1
Malaienadler;Black Eagle;Aigle noir;blaeag1
Gangesadler;Indian Spotted Eagle;Aigle lancéolé;inseag1
Schreiadler;Lesser Spotted Eagle;Aigle pomarin;leseag1
Schelladler;Greater Spotted Eagle;Aigle criard;grseag1
Schrei- x Schelladler (Hybrid);Lesser x Greater Spotted Eagle (hybrid);Hybride Aigle pomarin x A. criard;x00843
Schrei-/Schelladler;Lesser/Greater Spotted Eagle;Aigle pomarin ou A. criard;y00718
Ganges-/Schelladler;Indian/Greater Spotted Eagle;Aigle lancéolé ou A. criard;y00719
Silberadler;Wahlberg's Eagle;Aigle de Wahlberg;waheag3
Fleckenadler;Ayres's Hawk-Eagle;Aigle d'Ayres;ayheag1
Papuazwergadler;Pygmy Eagle;Aigle de Weiske;liteag3
Zwergadler;Booted Eagle;Aigle botté;booeag1
Kaninchenadler;Little Eagle;Aigle nain;liteag1
Steppenadler;Steppe Eagle;Aigle des steppes;steeag1
Kaiseradler;Imperial Eagle;Aigle impérial;impeag1
Iberienadler;Spanish Eagle;Aigle ibérique;spaeag1
Savannenadler;Tawny Eagle;Aigle ravisseur;taweag1
Steppen-/Savannenadler;Steppe/Tawny Eagle;Aigle ravisseur ou A. des steppes;y01022
Schwarzachseladler;Cassin's Hawk-Eagle;Aigle de Cassin;cashae1
Molukkenadler;Gurney's Eagle;Aigle de Gurney;gureag1
Keilschwanzadler;Wedge-tailed Eagle;Aigle d'Australie;weteag1
Steinadler;Golden Eagle;Aigle royal;goleag
Klippenadler;Verreaux's Eagle;Aigle de Verreaux;vereag1
Habichtsadler;Bonelli's Eagle;Aigle de Bonelli;boneag2
Akazienadler;African Hawk-Eagle;Aigle fascié;afrhae1
Aquila, unbestimmt;Aquila sp.;Aquila sp.;aquila1
Clanga/Aquila, unbestimmt;Clanga/Aquila sp.;Clanga ou Aquila sp.;y01070
Papuaadler;New Guinea Eagle;Harpie de Nouvelle-Guinée;negeag1
Fledermausadler;Bat Hawk;Alcin des chauves-souris;bathaw1
Würgadler;Crested Eagle;Harpie huppée;creeag1
Harpyie;Harpy Eagle;Harpie féroce;hareag1
Schopfhabicht;Crested Goshawk;Autour huppé;cregos1
Graukopfhabicht;Sulawesi Goshawk;Autour des Célèbes;sulgos1
Gabarhabicht;Gabar Goshawk;Autour gabar;gabgos2
Langschwanzhabicht;Long-tailed Hawk;Autour à longue queue;lothaw1
Graubürzel-Singhabicht;Dark Chanting-Goshawk;Autour sombre;dacgos1
Weißbürzel-Singhabicht;Eastern Chanting-Goshawk;Autour à ailes grises;eacgos1
Graubürzel-/Weißbürzel-Singhabicht;Dark/Eastern Chanting-Goshawk;Autour sombre ou A. à ailes grises;y01289
Silbersinghabicht;Pale Chanting-Goshawk;Autour chanteur;pacgos1
Graubürzel-/Silbersinghabicht;Dark/Pale Chanting-Goshawk;Autour sombre ou A. chanteur;y01290
Kuckuckshabicht;Lizard Buzzard;Autour unibande;lizbuz1
Afrikahabicht;African Goshawk;Autour tachiro;afrgos1
Afrikahabicht (macroscelides);African Goshawk (Banded);Autour tachiro (macroscelides);recgos2
Afrikahabicht (toussenelii/canescens);African Goshawk (Red-chested);Autour tachiro (toussenelii/canescens);recgos3
Afrikahabicht (lopezi);African Goshawk (Bioko);Autour tachiro (lopezi);recgos4
Afrikahabicht (unduliventer/croizati);African Goshawk (Ethiopian);Autour tachiro (unduliventer/croizati);afrgos2
Afrikahabicht (sparsimfasciatus);African Goshawk (Eastern);Autour tachiro (sparsimfasciatus);afrgos3
Afrikahabicht (pembaensis);African Goshawk (Pemba);Autour tachiro (pembaensis);afrgos4
Afrikahabicht (tachiro);African Goshawk (Southern);Autour tachiro (tachiro);afrgos5
Rotflankenhabicht;Chestnut-flanked Sparrowhawk;Autour à flancs roux;chfspa1
Waldsperber;Red-thighed Sparrowhawk;Épervier de Hartlaub;retspa1
Zwergsperber;Little Sparrowhawk;Épervier minule;litspa1
Besrasperber;Besra;Épervier besra;besra1
Schopfhabicht/Besrasperber;Crested Goshawk/Besra;Autour huppé ou Épervier besra;y01073
Sulawesisperber;Small Sparrowhawk;Épervier des Célèbes;smaspa1
Rotnackensperber;Rufous-necked Sparrowhawk;Épervier à gorge grise;runspa1
Halsringsperber;Collared Sparrowhawk;Épervier à collier roux;colspa1
Dreifarbensperber;New Britain Sparrowhawk;Épervier de Nouvelle-Bretagne;nebspa1
Rosenbrustsperber;Vinous-breasted Sparrowhawk;Épervier à poitrine rousse;vibspa1
Trillersperber;Japanese Sparrowhawk;Épervier du Japon;japspa1
Besra-/Trillersperber;Besra/Japanese Sparrowhawk;Épervier du Japon ou É. besra;y00943
Schikrasperber;Shikra;Épervier shikra;shikra1
Schikrasperber (sphenura/polyzonoides);Shikra (African);Épervier shikra (sphenurus/polyzonoides);shikra2
Schikrasperber [badia-Gruppe];Shikra (Asian);Épervier shikra (groupe badius);shikra3
Nikobarensperber;Nicobar Sparrowhawk;Épervier des Nicobar;nicspa1
Kurzfangsperber;Levant Sparrowhawk;Épervier à pieds courts;levspa1
Froschsperber;Chinese Sparrowhawk;Épervier de Horsfield;grfhaw1
Trughabicht;Imitator Sparrowhawk;Autour imitateur;imispa1
Echsensperber;Frances's Sparrowhawk;Épervier de Frances;fragos2
Fleckschwanzsperber;Spot-tailed Goshawk;Épervier à queue tachetée;sptgos1
Aschkopfhabicht;Gray-headed Goshawk;Autour à tête grise;gyhgos1
Prinzenhabicht;New Britain Goshawk;Autour de Mayr;nebgos1
Grauhabicht;Gray Goshawk;Autour blanc;grygos1
Inselhabicht;Variable Goshawk;Autour variable;vargos1
Inselhabicht (sylvestris);Variable Goshawk (Lesser Sundas);Autour variable (sylvestris);vargos2
Inselhabicht [hiogaster-Gruppe];Variable Goshawk (Variable);Autour variable (groupe hiogaster);vargos3
Schwarzmantelhabicht;Black-mantled Goshawk;Autour à manteau noir;blmgos1
Elsterhabicht;Pied Goshawk;Autour pie;piegos1
Fidschihabicht;Fiji Goshawk;Autour des Fidji;fijgos1
Halmaherahabicht;Moluccan Goshawk;Autour des Moluques;molgos1
Schiefermantelhabicht;Slaty-mantled Goshawk;Autour bleu et gris;slmgos1
Weißbauchhabicht;New Caledonian Goshawk;Autour à ventre blanc;necgos1
Bänderhabicht;Brown Goshawk;Autour australien;brogos1
Halsringsperber/Bänderhabicht;Collared Sparrowhawk/Brown Goshawk;Autour australien ou Épervier à collier roux;y00841
Insel-/Bänderhabicht;Variable/Brown Goshawk;Autour variable ou A. australien;y01023
Prachthabicht;Chestnut-shouldered Goshawk;Autour de Bürgers;chsgos1
Fuchshabicht;Red Goshawk;Autour rouge;redgos1
Graubauchhabicht;Gray-bellied Hawk;Autour à ventre gris;gybhaw1
Ovambosperber;Ovambo Sparrowhawk;Épervier des Ovampos;ovaspa2
Madagaskarsperber;Madagascar Sparrowhawk;Épervier de Madagascar;madspa1
Sperber;Eurasian Sparrowhawk;Épervier d'Europe;eurspa1
Kurzfangsperber/Sperber;Levant/Eurasian Sparrowhawk;Épervier à pieds courts ou É. d'Europe;y00842
Rotbauchsperber;Rufous-breasted Sparrowhawk;Épervier menu;rucspa2
Rotbauchsperber (perspicillaris);Rufous-breasted Sparrowhawk (Ethiopian);Épervier menu (perspicillaris);rucspa3
Rotbauchsperber (rufiventris);Rufous-breasted Sparrowhawk (Rufous-breasted);Épervier menu (rufiventris);rucspa4
Eckschwanzsperber;Sharp-shinned Hawk;Épervier brun;shshaw
Eckschwanzsperber [velox-Gruppe];Sharp-shinned Hawk (Northern);Épervier brun (groupe velox);shshaw2
Eckschwanzsperber [striatus-Gruppe];Sharp-shinned Hawk (Caribbean);Épervier brun (groupe striatus);shshaw1
Eckschwanzsperber (madrensis);Sharp-shinned Hawk (Madrean);Épervier brun (madrensis);shshaw6
Eckschwanzsperber (chionogaster);Sharp-shinned Hawk (White-breasted);Épervier brun (chionogaster);shshaw3
Eckschwanzsperber (ventralis);Sharp-shinned Hawk (Plain-breasted);Épervier brun (ventralis);shshaw4
Eckschwanzsperber (erythronemius);Sharp-shinned Hawk (Rufous-thighed);Épervier brun (erythronemius);shshaw5
Zweifarbhabicht;Bicolored Hawk;Épervier bicolore;bichaw1
Zweifarbhabicht (bicolor/fidens);Bicolored Hawk (Bicolored);Épervier bicolore (bicolor/fidens);bichaw2
Zweifarbhabicht (pileatus/guttifer);Bicolored Hawk (Spotted);Épervier bicolore (pileatus/guttifer);bichaw3
Chilehabicht;Chilean Hawk;Épervier du Chili;bichaw4
Zweifarb-/Chilehabicht;Bicolored/Chilean Hawk;Épervier bicolore ou É. du Chili;y01209
Rundschwanzhabicht;Cooper's Hawk;Épervier de Cooper;coohaw
Eckschwanzsperber/Rundschwanzhabicht;Sharp-shinned/Cooper's Hawk;Épervier brun ou É. de Cooper;y00612
Kubahabicht;Gundlach's Hawk;Épervier de Cuba;gunhaw1
Habicht;Eurasian Goshawk;Autour des palombes;norgos1
Sperber/Habicht;Eurasian Sparrowhawk/Eurasian Goshawk;Épervier d'Europe ou Autour des palombes;y00392
American Goshawk;American Goshawk;Autour d'Amérique;norgos
Cooper's Hawk x American Goshawk (hybrid);Cooper's Hawk x American Goshawk (hybrid);Hybride Épervier de Cooper x Autour d'Amérique;x00988
Cooper's Hawk/American Goshawk;Cooper's Hawk/American Goshawk;Épervier de Cooper ou Autour d'Amérique;y00666
Eurasian/American Goshawk;Eurasian/American Goshawk;Autour des palombes ou A. d'Amérique;y01256
Papuahabicht;Meyer's Goshawk;Autour de Meyer;meygos1
Dominohabicht;Black Goshawk;Autour noir;blagos1
Madagaskarhabicht;Henst's Goshawk;Autour de Henst;hengos1
Aerospiza/Tachyspiza/Accipiter/Astur, unbestimmt;Accipitrine hawk sp. (former Accipiter sp.);Aerospiza, Tachyspiza, Accipiter ou Astur sp.;accipi
Salvadorihabicht;Doria's Hawk;Autour de Doria;dorgos1
Rohrweihe;Western Marsh Harrier;Busard des roseaux;wemhar1
Froschweihe;African Marsh Harrier;Busard grenouillard;afmhar1
Rohr-/Froschweihe;Western/African Marsh Harrier;Busard des roseaux ou B. grenouillard;y01359
Mangroveweihe;Eastern Marsh Harrier;Busard d'Orient;easmah1
Rohr-/Mangroveweihe;Western/Eastern Marsh Harrier;Busard des roseaux ou B. d'Orient;y00391
Papuaweihe;Papuan Harrier;Busard de Nouvelle-Guinée;easmah2
Mangroven-/Papuaweihe;Eastern Marsh/Papuan Harrier;Busard d'Orient ou B. de Nouvelle-Guinée;eamhar1
Sumpfweihe;Swamp Harrier;Busard de Gould;swahar1
Réunionweihe;Reunion Harrier;Busard de Maillard;reuhar2
Madagaskarweihe;Malagasy Harrier;Busard de Madagascar;reuhar3
Weißbrauenweihe;Long-winged Harrier;Busard de Buffon;lowhar1
Fleckenweihe;Spotted Harrier;Busard tacheté;spohar1
Sumpf-/Fleckenweihe;Swamp/Spotted Harrier;Busard de Gould ou B. tacheté;y01243
Kapweihe;Black Harrier;Busard maure;blahar1
Grauweihe;Cinereous Harrier;Busard bariolé;cinhar1
Kornweihe;Hen Harrier;Busard Saint-Martin;norhar1
Hudsonweihe;Northern Harrier;Busard des marais;norhar2
Korn-/Hudsonweihe;Hen/Northern Harrier;Busard Saint-Martin ou B. des marais;norhar
Steppenweihe;Pallid Harrier;Busard pâle;palhar1
Korn- x Steppenweihe (Hybrid);Hen x Pallid Harrier (hybrid);Hybride Busard Saint-Martin x B. pâle;x00399
Elsterweihe;Pied Harrier;Busard tchoug;piehar1
Wiesenweihe;Montagu's Harrier;Busard cendré;monhar1
Steppen- x Wiesenweihe (Hybrid);Pallid x Montagu's Harrier (hybrid);Hybride Busard pâle x B. cendré;x01099
Korn-/Wiesenweihe;Hen/Montagu's Harrier;Busard Saint-Martin ou B. cendré;y00840
Steppen-/Wiesenweihe;Pallid/Montagu's Harrier;Busard pâle ou B. cendré;y00720
Weihe, unbestimmt;harrier sp.;busard sp.;harrie1
Däumlingssperber;Tiny Hawk;Épervier nain;tinhaw1
Halsbandsperber;Semicollared Hawk;Épervier à collier interrompu;semhaw2
Rostbrust-Zahnhabicht;Double-toothed Kite;Harpage bidenté;dotkit1
Rostschenkel-Zahnhabicht;Rufous-thighed Kite;Harpage diodon;rutkit1
Rotmilan;Red Kite;Milan royal;redkit1
Rotmilan (milvus);Red Kite (Red);Milan royal (milvus);redkit2
Rotmilan (fasciicauda);Red Kite (Cape Verde);Milan royal (fasciicauda);redkit3
Schwarzmilan;Black Kite;Milan noir;blakit1
Schwarzmilan [migrans-Gruppe];Black Kite (Black);Milan noir (groupe migrans);blkkit1
Schwarzmilan (Schwarzohrmilan);Black Kite (Black-eared);Milan noir (lineatus/formosanus);blkkit2
Schwarzmilan (Schmarotzermilan);Black Kite (Yellow-billed);Milan noir (aegyptius/parasitus);blkkit3
Rot-/Schwarzmilan;Red/Black Kite;Milan royal ou M. noir;y00611
Brahmanenmilan;Brahminy Kite;Milan sacré;brakit1
Schwarz-/Brahmanenmilan;Black/Brahminy Kite;Milan noir ou M. sacré;y00393
Keilschwanzmilan;Whistling Kite;Milan siffleur;whikit1
Seeadler;White-tailed Eagle;Pygargue à queue blanche;whteag
Weißkopf-Seeadler;Bald Eagle;Pygargue à tête blanche;baleag
Bindenseeadler;Pallas's Fish-Eagle;Pygargue de Pallas;pafeag1
Riesenseeadler;Steller's Sea-Eagle;Pygargue empereur;stseag
Weißkopf- x Riesenseeadler (Hybrid);Bald Eagle x Steller's Sea-Eagle (hybrid);Hybride Pygargue empereur x P. à tête blanche;x00989
Steinadler/Weißkopf-Seeadler;Golden/Bald Eagle;Aigle royal ou Pygargue à tête blanche;y00944
Schreiseeadler;African Fish-Eagle;Pygargue vocifer;affeag1
Madagaskarseeadler;Madagascar Fish-Eagle;Pygargue de Madagascar;mafeag1
Weißbauch-Seeadler;White-bellied Sea-Eagle;Pygargue blagre;wbseag1
Salomonenseeadler;Sanford's Sea-Eagle;Pygargue de Sanford;solsee1
Braunschwanz-Seeadler;Lesser Fish-Eagle;Pygargue nain;lefeag1
Graukopf-Seeadler;Gray-headed Fish-Eagle;Pygargue à tête grise;gyhfie1
Braunschwanz-/Graukopf-Seeadler;Lesser/Gray-headed Fish-Eagle;Pygargue nain ou P. à tête grise;y00721
Haliaeetus/Icthyophaga, unbestimmt;Haliaeetus/Icthyophaga sp.;pygargue sp.;haliae1
Malaienbussard;Rufous-winged Buzzard;Busautour pâle;ruwbuz1
Heuschreckenbussard;Grasshopper Buzzard;Busautour des sauterelles;grabuz1
Weißaugenbussard;White-eyed Buzzard;Busautour aux yeux blancs;whebuz1
Amurbussard;Gray-faced Buzzard;Busautour à joues grises;gyfbuz1
Mississippibussard;Mississippi Kite;Milan du Mississippi;miskit
Schwebebussard;Plumbeous Kite;Milan bleuâtre;plukit1
Mississippi-/Schwebebussard;Mississippi/Plumbeous Kite;Milan du Mississippi ou M. bleuâtre;y00772
Stelzenbussard;Crane Hawk;Buse échasse;crahaw
Stelzenbussard [nigra-Gruppe];Crane Hawk (Blackish);Buse échasse (groupe nigra);crahaw1
Stelzenbussard (caerulescens);Crane Hawk (Gray);Buse échasse (caerulescens);crahaw2
Stelzenbussard (gracilis/flexipes);Crane Hawk (Banded);Buse échasse (gracilis/flexipes);crahaw3
Fischbussard;Black-collared Hawk;Buse à tête blanche;blchaw1
Schneckenbussard;Snail Kite;Milan des marais;snakit
Hakenbussard;Slender-billed Kite;Milan à long bec;slbkit1
Prinzenbussard;Barred Hawk;Buse barrée;barhaw1
Bleibussard;Plumbeous Hawk;Buse plombée;pluhaw
Schieferbussard;Slate-colored Hawk;Buse ardoisée;slchaw2
Krabbenbussard;Common Black Hawk;Buse noire;comblh1
Krabbenbussard (anthracinus);Common Black Hawk (Common);Buse noire (anthracinus);cobhaw
Krabbenbussard [subtilis-Gruppe];Common Black Hawk (Mangrove);Buse noire (groupe subtilis);mabhaw1
Kubabussard;Cuban Black Hawk;Buse de Gundlach;cubblh1
Rotbauchbussard;Rufous Crab Hawk;Buse buson;ruchaw1
Savannenbussard;Savanna Hawk;Buse roussâtre;savhaw1
Weißhalsbussard;White-necked Hawk;Buse lacernulée;whnhaw2
Schwarzbussard;Great Black Hawk;Buse urubu;grbhaw1
Schwarzbussard (ridgwayi);Great Black Hawk (Northern);Buse urubu (ridgwayi);grbhaw2
Schwarzbussard (urubitinga);Great Black Hawk (Southern);Buse urubu (urubitinga);grbhaw3
Krabben-/Schwarzbussard;Common/Great Black Hawk;Buse noire ou B. urubu;y00945
Einsiedlerbussard;Solitary Eagle;Buse solitaire;soleag1
Kronenbussard;Chaco Eagle;Buse couronnée;croeag1
Buteogallus, unbestimmt;Buteogallus sp.;Buteogallus sp.;buteog1
Wegebussard;Roadside Hawk;Buse à gros bec;roahaw
Wegebussard (gracilis);Roadside Hawk (Cozumel I.);Buse à gros bec (gracilis);roahaw2
Wegebussard [magnirostris-Gruppe];Roadside Hawk (Northern);Buse à gros bec (groupe magnirostris);roahaw3
Wegebussard [pucherani-Gruppe];Roadside Hawk (Southern);Buse à gros bec (groupe pucherani);roahaw4
Wüstenbussard;Harris's Hawk;Buse de Harris;hrshaw
Wüstenbussard (harrisi);Harris's Hawk (Harris's);Buse de Harris (harrisi);harhaw1
Wüstenbussard (unicinctus);Harris's Hawk (Bay-winged);Buse de Harris (unicinctus);harhaw2
Weißbürzelbussard;White-rumped Hawk;Buse cul-blanc;whrhaw1
Weißschwanzbussard;White-tailed Hawk;Buse à queue blanche;whthaw
Rotrückenbussard;Variable Hawk;Buse tricolore;rebhaw2
Rotrückenbussard (Puna);Variable Hawk (Puna);Buse tricolore (forme de la puna);punhaw1
Rotrückenbussard (Red-backed);Variable Hawk (Red-backed);Buse tricolore (forme à dos roux);rebhaw1
Rotrückenbussard (polyosoma);Variable Hawk (Variable);Buse tricolore (polyosoma);varhaw1
Rotrückenbussard (exsul);Variable Hawk (Juan Fernandez);Buse tricolore (exsul);varhaw2
Andenbussard;Black-chested Buzzard-Eagle;Buse aguia;bcbeag1
Geranoaetus, unbestimmt;Geranoaetus sp.;Geranoaetus sp.;gerano1
Graurückenbussard;Gray-backed Hawk;Buse à dos gris;gybhaw2
Schneebussard;White Hawk;Buse blanche;whihaw1
Schneebussard (ghiesbreghti);White Hawk (Snowy);Buse blanche (ghiesbreghti);whihaw2
Schneebussard (costaricensis);White Hawk (White-shouldered);Buse blanche (costaricensis);whihaw3
Schneebussard (williaminae);White Hawk (Black-winged);Buse blanche (williaminae);whihaw5
Schneebussard (albicollis);White Hawk (Black-tailed);Buse blanche (albicollis);whihaw4
Mantelbussard;Mantled Hawk;Buse mantelée;manhaw2
Möwenbussard;Semiplumbeous Hawk;Buse semiplombée;semhaw
Zügelbussard;Black-faced Hawk;Buse à face noire;blfhaw1
Weißbrauenbussard;White-browed Hawk;Buse à sourcils blancs;whbhaw2
Bermudabussard;Bermuda Hawk;Buse des Bermudes;berhaw1
Graubussard;Gray Hawk;Buse grise;gryhaw2
Silberbussard;Gray-lined Hawk;Buse cendrée;gryhaw3
Grau-/Silberbussard;Gray/Gray-lined Hawk;Buse grise ou B. cendrée;gryhaw1
Breitflügelbussard;Broad-winged Hawk;Petite Buse;brwhaw
Breitflügelbussard (platypterus);Broad-winged Hawk (Northern);Petite Buse (platypterus);brwhaw1
Breitflügelbussard [antillarum-Gruppe];Broad-winged Hawk (Caribbean);Petite Buse (groupe antillarum);brwhaw2
Rotschulterbussard;Red-shouldered Hawk;Buse à épaulettes;reshaw
Rotschulterbussard [lineatus-Gruppe];Red-shouldered Hawk (lineatus Group);Buse à épaulettes (groupe lineatus);reshaw5
Rotschulterbussard (extimus);Red-shouldered Hawk (extimus);Buse à épaulettes (extimus);reshaw2
Rotschulterbussard (elegans);Red-shouldered Hawk (elegans);Buse à épaulettes (elegans);reshaw4
Krabben- x Rotschulterbussard (Hybrid);Common Black x Red-shouldered Hawk (hybrid);Hybride Buse noire x B. à épaulettes;x00787
Haitibussard;Ridgway's Hawk;Buse de Ridgway;ridhaw1
Breitflügel- x Rotschulterbussard (Hybrid);Broad-winged x Red-shouldered Hawk (hybrid);Hybride Buse à épaulettes x Petite Buse;x00400
Breitflügel-/Rotschulterbussard;Broad-winged/Red-shouldered Hawk;Buse à épaulettes ou Petite Buse;y00773
Rußbussard;Zone-tailed Hawk;Buse à queue barrée;zothaw
